date,Americas,China,EU,Korea,Taiwan
2019-04-28,119904.76388888889,191674.27777777778,173380.04166666666,246677.20833333334,270724.05555555556
2019-04-29,120876.19444444444,192120.04166666666,173652.69444444444,252648.90277777778,273185.7361111111
2019-04-30,120498.86111111111,193251.77777777778,171748.08333333334,242547.29166666666,266534.59722222225
2019-05-01,118574.29166666667,193217.02777777778,170852.47222222222,232897.01388888888,268191.15277777775
2019-05-02,118950.25,193522.31944444444,171537.66666666666,232564.61111111112,266534.84722222225
2019-05-03,118566.29166666667,193153.875,170638.33333333334,232285.47222222222,264676.7361111111
2019-05-04,118226.98611111111,195667.68055555556,171324.18055555556,229177.875,268417.25
2019-05-05,117725.09722222222,196939.88888888888,171215.97222222222,233545.91666666666,269358.5833333333
2019-05-06,119483.86111111111,197307.04166666666,173054.125,234265.93055555556,270471.77777777775
2019-05-07,119356.79166666667,198909.33333333334,172918.31944444444,238467.91666666666,269047.7361111111
2019-05-08,117950.02777777778,198739.55555555556,171728.75,241232.65277777778,272702.22222222225
2019-05-09,118623.15277777778,197768.23611111112,172680.86111111112,242402.72222222222,270987.1666666667
2019-05-10,117553.93055555556,198053.51388888888,170492.25,240028.48611111112,273239.5138888889
2019-05-11,116771.73611111111,198517.61111111112,170805.40277777778,247981.81944444444,272854.875
2019-05-12,117445.91666666667,199942.44444444444,171436.30555555556,250249.51388888888,272761.0833333333
2019-05-13,118187.125,200063.55555555556,173747.54166666666,250462.01388888888,276788.93055555556
2019-05-14,120317.79166666667,200582.90277777778,176283.91666666666,262752.94444444444,281059.31944444444
2019-05-15,119989.93055555556,201887.79166666666,176479.27777777778,262403.54098360654,284009.31944444444
2019-05-16,120318.90277777778,204016.34722222222,179005.45833333334,258592.33333333334,286023.05555555556
2019-05-17,119703.51388888889,206567.93055555556,178567.44444444444,260668.13888888888,285546.2295081967
2019-05-18,118911.59722222222,207346.55555555556,178249.19444444444,249154.36111111112,276414.7818181818
2019-05-19,120134.80555555556,209417.20833333334,178728.95833333334,256924.43055555556,280542.31944444444
2019-05-20,121842.52777777778,210197.94444444444,180782.16666666666,260873.36111111112,278338.93055555556
2019-05-21,120174.93055555556,212087.08333333334,181155.06944444444,250037.54166666666,280153.1111111111
2019-05-22,120751.45833333333,212646.35211267605,182217.66129032258,254542.74647887325,280522.3888888889
2019-05-23,121306.11111111111,218499.91666666666,180709.59722222222,255498.125,285871.59722222225
2019-05-24,120328.97222222222,215093.27777777778,179749.23611111112,262720.7916666667,286212.84722222225
2019-05-25,120719.29166666667,219198.05555555556,179834.58333333334,262750.625,277649.0
2019-05-26,120871.06944444444,219580.55555555556,180666.56944444444,256955.45833333334,285153.7361111111
2019-05-27,120373.45833333333,221508.875,180507.02777777778,265213.6388888889,284229.65277777775
2019-05-28,121875.31944444444,221163.40277777778,181368.5,260386.23611111112,288026.68055555556
2019-05-29,121233.625,224433.68253968254,179573.23611111112,267152.0138888889,283196.4788732394
2019-05-30,120980.41666666667,225847.04166666666,178332.66666666666,264577.2083333333,285040.9166666667
2019-05-31,120039.04166666667,225990.69444444444,178632.76388888888,259783.66666666666,289890.3611111111
2019-06-01,119976.73611111111,226062.375,178703.30555555556,244471.59722222222,283484.8888888889
2019-06-02,121162.95833333333,223675.13888888888,178738.16666666666,250260.81944444444,296994.59722222225
2019-06-03,122246.98611111111,228976.40277777778,180662.01388888888,252524.22222222222,287164.6111111111
2019-06-04,122313.54166666667,227518.87142857144,182424.63888888888,258235.55555555556,291136.31944444444
2019-06-05,121449.61111111111,221538.0,181143.38095238095,255065.52777777778,293748.1666666667
2019-06-06,122929.85507246378,226870.3448275862,180091.92753623187,252719.25714285715,294872.02857142856
2019-06-07,121540.95833333333,227342.93055555556,179105.55555555556,254774.90277777778,292749.7916666667
2019-06-08,121551.06944444444,225998.70833333334,179721.66666666666,253890.56944444444,289925.1388888889
2019-06-09,121287.86111111111,227276.01388888888,180058.84722222222,256174.11111111112,293014.2361111111
2019-06-10,122922.52777777778,228857.02777777778,180054.34722222222,262132.15277777778,292751.625
2019-06-11,125911.0350877193,244247.98611111112,185950.26388888888,270792.93055555556,301769.25
2019-06-12,126180.30555555556,227023.59722222222,177857.41666666666,266550.0138888889,297124.6923076923
2019-06-13,125993.80555555556,233497.19444444444,181324.41666666666,275113.80555555556,291811.2916666667
2019-06-14,124391.06944444444,230974.65277777778,180798.54166666666,268838.9861111111,290799.19444444444
2019-06-15,124802.75,230823.95833333334,179785.04166666666,266786.52777777775,284628.27777777775
2019-06-16,124233.34722222222,230608.43055555556,180046.72222222222,272659.9166666667,292272.30555555556
2019-06-17,127177.15277777778,230376.09722222222,180580.86111111112,272826.22222222225,294437.1111111111
2019-06-18,126760.69444444444,229165.80555555556,182198.18055555556,274538.375,297196.625
2019-06-19,128384.70833333333,227193.1875,182870.125,272076.72222222225,295478.3611111111
2019-06-20,128711.26388888889,224286.7323943662,181915.8309859155,277043.3611111111,290100.5833333333
2019-06-21,127645.31147540984,226463.76388888888,181097.9387755102,278147.47222222225,290985.6666666667
2019-06-22,127070.95774647887,225032.77777777778,181476.25714285715,273914.2638888889,293125.875
2019-06-23,127892.76388888889,228480.72222222222,181029.2,277395.55555555556,293102.31944444444
2019-06-24,130098.26760563381,227138.20833333334,185701.125,279390.3888888889,291393.69444444444
2019-06-25,131499.93846153846,227928.25,186562.72222222222,275927.2083333333,298362.9166666667
2019-06-26,128755.25,226483.84057971014,186744.40579710144,281139.5588235294,297054.115942029
2019-06-27,129936.33333333333,226292.76388888888,184705.36111111112,294964.0416666667,302941.90277777775
2019-06-28,130957.23611111111,223957.70833333334,184757.41666666666,291364.7083333333,290943.2916666667
2019-06-29,128858.43902439025,226959.26829268291,182177.56097560975,285915.2195121951,300085.56097560975
2019-06-30,132062.85483870967,223430.48387096773,182327.38709677418,289924.62903225806,295313.03225806454
2019-07-01,130732.02777777778,223042.20833333334,183178.375,273032.875,300895.0138888889
2019-07-02,131863.68055555556,225829.86111111112,182920.88888888888,278022.625,295114.3
2019-07-03,131788.86111111112,225294.80555555556,182436.81944444444,276453.75,303964.7121212121
2019-07-04,130320.54166666667,223723.16666666666,182758.84722222222,281355.6388888889,300300.27777777775
2019-07-05,130490.38888888889,222252.80555555556,182520.80555555556,283745.2083333333,295456.0416666667
2019-07-06,131378.09722222222,223312.06944444444,182311.93055555556,286272.56944444444,295114.125
2019-07-07,133395.25,223683.58333333334,184733.25,283798.6111111111,293051.25
2019-07-08,135640.59722222222,222725.94444444444,184543.77777777778,288405.55555555556,292401.7571428571
2019-07-09,134506.75,222131.27777777778,182819.23611111112,288177.44444444444,295086.25
2019-07-10,132473.48611111112,219163.38888888888,182986.34722222222,282346.0857142857,295323.0985915493
2019-07-11,132003.83333333334,213812.29166666666,180973.81944444444,279528.0,297696.65277777775
2019-07-12,130303.95833333333,211774.97222222222,182585.23611111112,278449.47222222225,286837.2638888889
2019-07-13,128924.36111111111,208753.91666666666,179885.05555555556,271988.1111111111,288681.59722222225
2019-07-14,129142.61111111111,208297.40277777778,180214.875,275500.97222222225,287475.90277777775
2019-07-15,130704.29166666667,207077.44444444444,181317.97222222222,274189.75,290529.2916666667
2019-07-16,130892.05555555556,207996.79166666666,180677.33333333334,276123.6388888889,288734.7361111111
2019-07-17,130524.88888888889,209091.76388888888,179052.81944444444,275932.97222222225,290774.7361111111
2019-07-18,129349.47222222222,204762.23611111112,178696.5,272144.80555555556,289655.69444444444
2019-07-19,130652.44444444444,205205.43055555556,178242.625,271268.72222222225,285176.0416666667
2019-07-20,128162.51388888889,203853.55555555556,177111.75,263906.3888888889,285493.27777777775
2019-07-21,128742.66666666667,205760.79166666666,177689.55555555556,262066.51388888888,287204.0138888889
2019-07-22,131279.54411764705,204903.01388888888,178225.66666666666,267933.09722222225,285682.6111111111
2019-07-23,130290.68055555556,205547.02777777778,178242.77777777778,267132.93055555556,286330.75
2019-07-24,130847.33333333333,205482.94444444444,176918.375,271671.4583333333,288344.6111111111
2019-07-25,130698.80555555556,202840.23611111112,176349.75,270488.1388888889,279710.47222222225
2019-07-26,130803.55555555556,203717.47222222222,177004.66666666666,266165.27777777775,288207.5
